RowNum	DateTime	HoursFromStart	SampleNum	TubID	Condition	pH	DOmgL	AvgTempC	AvgSRPppm	StdSRPppm	TotalPppm	Fe2ppm	TotalFeppm	TotalCappm	TotalSppm	TotalKppm	TotalMgppm	TotalMnppm
1	10/3/14 10:25	0.000	0	T1	air	8.30	9.77	15.2	0.02157779	0.00000000			0.04284	39.30958	176.99612	2.90219	11.24810	0.013501
5	10/3/14 13:00	2.583	1	T1	air	7.80	7.62	19.7	0.02272302	0.00018867			0.03073	37.78974	216.31099	3.32695	10.89001	0.001418
9	10/3/14 15:00	4.583	2	T1	air	7.69	7.30	21.7	0.02042082	0.00008593	0.01197	0.60146	0.03367	38.87995	131.31926	3.48906	11.23300	0.003040
13	10/3/14 16:30	6.833	3	T1	air	7.94	7.19	21.9	0.02215091	0.00102653			0.01816	37.58764	132.84085	3.45696	10.89915	0.001295
17	10/3/14 21:00	10.583	4	T1	air	8.15	8.64	23.0	0.02726945	0.00019982	0.01149		0.01705	37.90956	206.78601	3.53290	11.12184	0.000763
21	10/3/14 21:30	11.083	5	T1	n2	5.96	1.19	22.6	0.03325575	0.00031056	0.01532		0.02	47.60184	154.98973	4.10903	12.02933	0.034062
25	10/3/14 22:00	11.583	6	T1	n2	5.88	0.89	22.6	0.03556164	0.00041865	0.02094	0.14579	0.0165	50.93343	206.76608	3.85346	11.06919	0.039125
29	10/3/14 23:00	12.583	7	T1	n2	5.97	0.90	22.4	0.04169385	0.00059171	0.03462		0.01695	62.98685	198.86583	4.53223	12.78509	0.072236
33	10/4/14 1:00	14.583	8	T1	n2	6.07	1.02	22.5	0.05059944	0.00021448	0.0542		0.01849	72.29356	215.17656	4.93715	12.98565	0.159050
37	10/4/14 3:00	16.583	9	T1	n2	6.17	1.10	22.4	0.06287277	0.00006578	0.05955	0.01177	0.02953	73.19351	269.94366	4.91728	12.17757	0.229359
41	10/4/14 8:00	21.583	10	T1	n2	6.13	1.00	22.6	0.07885648	0.00018990	0.07024		0.02085	73.99617	290.64168	4.85802	11.39900	0.533124
45	10/4/14 9:00	22.583	11	T1	n2	6.05	1.16	22.3	0.07787187	0.00068637	0.02417			74.00528	153.59551	4.77459	11.12543	0.575944
49	10/4/14 9:30	23.083	12	T1	air	7.45	6.85	22.2	0.06972711	0.00021768	0.06678	0.09218	0.01061	74.55345	160.38997	5.03452	11.38270	0.427972
53	10/4/14 10:00	23.583	13	T1	air	7.84	6.96	22.2	0.05060113	0.00051935	0.02902	0.02517		73.04875	151.19525	4.82306	11.19543	0.174028
57	10/4/14 11:30	24.583	14	T1	air	7.94	6.72	22.3	0.03168050	0.00045020	0.01716	0.17259		68.15018	148.46569	4.70958	11.16743	0.018299
61	10/4/14 13:00	26.583	15	T1	air	7.92	6.62	22.5	0.02816830	0.00018748			0.01694	50.15397	213.72663	4.42098	10.63484	0.005382
65	10/4/14 15:00	28.583	16	T1	air	7.82	6.42	22.8	0.02651579	0.00077476		0.06537	0.01126	38.91456	183.27502	3.69027	9.02802	0.006259
69	10/4/14 20:00	33.583	17	T1	air	7.93	5.94	22.8	0.02669214	0.00070876			0.01109	32.69207	182.56034	3.73017	9.40793	0.002413
73	10/4/14 21:00	34.583	18	T1	air	7.86	5.96	22.9	0.02664804	0.00038007			0.01206	33.74365	196.88993	3.96603	9.94390	0.001428
77	10/4/14 21:30	35.083	19	T1	n2	5.52	0.77	22.5	0.03005851	0.00060636			0.01364	44.95536	195.59523	4.41410	10.35147	0.012746
81	10/4/14 22:00	35.583	20	T1	n2	6.01	0.85	22.1	0.03136852	0.00037016		0.11898	0.02531	57.67963	208.42957	4.65339	10.94274	0.026328
85	10/4/14 23:00	36.583	21	T1	n2	6.02	0.93	21.9	0.03563292	0.00053100	0.01122			70.38184	204.19324	4.94367	11.76146	0.093839
89	10/5/14 1:00	38.583	22	T1	n2	6.11	0.81	21.6	0.04227788	0.00020687	0.01742		0.02246	74.04983	203.17691	4.51890	10.66333	0.236422
93	10/5/14 3:00	40.583	23	T1	n2	6.18	1.03	21.8	0.04721779	0.00026675	0.02463		0.01008	77.91565	212.25637	4.67486	11.16771	0.468683
97	10/5/14 8:00	45.583	24	T1	n2	6.04	0.90	22.1	0.04870531	0.00021591				80.92964	208.00252	4.91395	11.52461	1.235664
101	10/5/14 9:00	46.583	25	T1	n2	6.00	1.14	21.9	0.04637372	0.00025617				79.10472	202.14888	4.72369	11.18823	1.317848
2	10/3/14 10:25	0.000	0	T2	air	8.30	9.77	15.2	0.02157779	0.00000000			0.04284	39.30958	176.99612	2.90219	11.24810	0.013501
6	10/3/14 13:00	2.583	1	T2	air	7.89	7.95	19.5	0.02129505	0.00022869		0.77568	0.03021	38.65173	193.52456	3.20591	11.12082	0.001827
10	10/3/14 15:00	4.583	2	T2	air	8.05	7.36	21.3	0.02212804	0.00032724	0.01409	0.02517	0.02692	39.99375	159.79494	3.47128	11.50020	0.001180
14	10/3/14 16:30	6.833	3	T2	air	7.90	6.80	21.6	0.02643794	0.00020044	0.01793		0.02369	39.86313	196.54090	3.54299	11.84264	0.000817
18	10/3/14 21:00	10.583	4	T2	air	8.31	6.89	22.5	0.02127797	0.00006748			0.02155	39.28800	202.71287	3.56892	11.63223	0.000699
22	10/3/14 21:30	11.083	5	T2	air	7.67	6.75	22.3	0.02194861	0.00007980		0.05197	0.01666	36.73250	173.61071	3.41214	10.18325	0.000473
26	10/3/14 22:00	11.583	6	T2	air	8.04	6.73	22.2	0.02174079	0.00064370		0.15919	0.01828	39.87842	218.74760	3.82609	11.76589	0.000577
30	10/3/14 23:00	12.583	7	T2	air	7.86	6.97	22.1	0.02039271	0.00054625			0.01434	33.11091	178.45289	2.94452	8.79769	0.000846
34	10/4/14 1:00	14.583	8	T2	air	7.98	6.43	22.2	0.01897279	0.00024126			0.01163	33.70638	142.76713	3.05226	9.02868	0.000426
38	10/4/14 3:00	16.583	9	T2	air	8.04	6.63	22.3	0.02098845	0.00076546			0.01464	34.42241	206.08604	3.18967	9.41577	0.000630
42	10/4/14 8:00	21.583	10	T2	air	8.06	6.58	22.6	0.02050870	0.00030869			0.01217	32.54044	174.82511	3.04080	8.54507	0.001218
46	10/4/14 9:00	22.583	11	T2	air	7.97	6.79	22.6	0.01911650	0.00037954				32.32564	159.07214	3.06543	8.33907	0.001095
50	10/4/14 9:30	23.083	12	T2	air	7.93	6.84	22.3	0.01913961	0.00045849		1.33857	0.0136	33.38126	144.27814	3.15923	8.72559	0.000802
54	10/4/14 10:00	23.583	13	T2	air	7.99	7.02	22.1	0.01698702	0.00000033		1.48599		32.52347	140.92410	3.03219	8.55391	0.000671
58	10/4/14 11:30	24.583	14	T2	air	8.04	6.90	22.3	0.02071113	0.00054222		1.09733		32.80572	119.25376	3.04213	8.57303	0.000422
62	10/4/14 13:00	26.583	15	T2	air	8.28	6.63	22.5	0.02370502	0.00131564		1.87465	0.02469	32.32271	378.07004	3.06407	8.43064	0.000644
66	10/4/14 15:00	28.583	16	T2	air	8.02	6.62	22.7	0.02434530	0.00062752		0.19939	0.0123	29.21474	194.02278	2.68675	7.71836	0.000635
70	10/4/14 20:00	33.583	17	T2	air	8.04	6.34	22.7	0.02616790	0.00012046		2.07568	0.01364	29.62904	194.02034	2.83708	7.76072	0.000898
74	10/4/14 21:00	34.583	18	T2	air	8.05	6.30	22.6	0.02653633	0.00042614		1.79424	0.01208	28.88305	185.55227	2.76898	7.53589	0.000708
78	10/4/14 21:30	35.083	19	T2	air	7.71	5.82	22.3	0.02496099	0.00058130		4.24681	0.01239	28.94658	195.76650	2.84439	7.53595	0.000527
82	10/4/14 22:00	35.583	20	T2	air	7.90	5.79	21.9	0.02296643	0.00029120		0.57465		30.67924	193.29755	2.93133	7.79059	0.000328
86	10/4/14 23:00	36.583	21	T2	air	7.83	5.87	21.6	0.02310813	0.00058710			0.02236	30.62493	198.44719	2.98475	7.94541	0.000330
90	10/5/14 1:00	38.583	22	T2	air	7.93	5.88	21.5	0.02489511	0.00068047		0.18140000	0.01106	31.50796	206.80932	3.13247	8.28615	0.000673
94	10/5/14 3:00	40.583	23	T2	air	8.03	5.95	21.4	0.02463052	0.00102137			0.01608	30.12052	194.95523	2.98775	7.81290	0.001054
98	10/5/14 8:00	45.583	24	T2	air	7.89	6.65	21.4	0.02345633	0.00062841				30.30201	203.66444	3.03110	7.93541	0.001267
102	10/5/14 9:00	46.583	25	T2	air	7.67	6.65	21.5	0.02318894	0.00019689				29.24160	190.25724	2.89335	7.55966	0.001079
