SampleID	SampleRep	ViewNumber	DNACounts	PolyPCounts	Dillution	DNAcellsmL	PolyPcellsmL	PerPolyP
T1	1	1	82	7	400	7.07E+05	6.04E+04	8.54
T1	1	2	119	14	400	1.03E+06	1.21E+05	11.76
T1	1	3	79	5	400	6.81E+05	4.31E+04	6.33
T1	1	4	125	2	400	1.08E+06	1.72E+04	1.60
T1	1	5	85	8	400	7.33E+05	6.90E+04	9.41
T1	1	6	30	2	400	2.59E+05	1.72E+04	6.67
T1	1	7	126	5	400	1.09E+06	4.31E+04	3.97
T1	1	8	110	4	400	9.49E+05	3.45E+04	3.64
T1	1	9	164	13	400	1.41E+06	1.12E+05	7.93
T1	1	10	163	8	400	1.41E+06	6.90E+04	4.91
T1	2	1	78	3	400	6.73E+05	2.59E+04	3.85
T1	2	2	83	5	400	7.16E+05	4.31E+04	6.02
T1	2	3	40	10	400	3.45E+05	8.62E+04	25.00
T1	2	4	53	0	400	4.57E+05	0.00E+00	NA
T1	2	5	88	3	400	7.59E+05	2.59E+04	3.41
T1	2	6	76	5	400	6.55E+05	4.31E+04	6.58
T1	2	7	64	3	400	5.52E+05	2.59E+04	4.69
T1	2	8	68	4	400	5.86E+05	3.45E+04	5.88
T1	2	9	94	4	400	8.11E+05	3.45E+04	4.26
T1	2	10	90	3	400	7.76E+05	2.59E+04	3.33
T2	1	1	81	5	400	6.99E+05	4.31E+04	6.17
T2	1	2	84	7	400	7.24E+05	6.04E+04	8.33
T2	1	3	126	11	400	1.09E+06	9.49E+04	8.73
T2	1	4	98	10	400	8.45E+05	8.62E+04	10.20
T2	1	5	31	0	400	2.67E+05	0.00E+00	NA
T2	1	6	30	3	400	2.59E+05	2.59E+04	10.00
T2	1	7	27	7	400	2.33E+05	6.04E+04	25.93
T2	1	8	63	33	400	5.43E+05	2.85E+05	52.38
T2	1	9	63	25	400	5.43E+05	2.16E+05	39.68
T2	1	10	65	42	400	5.61E+05	3.62E+05	64.62
T2	2	1	59	16	400	5.09E+05	1.38E+05	27.12
T2	2	2	107	22	400	9.23E+05	1.90E+05	20.56
T2	2	3	83	6	400	7.16E+05	5.17E+04	7.23
T2	2	4	76	9	400	6.55E+05	7.76E+04	11.84
T2	2	5	91	10	400	7.85E+05	8.62E+04	10.99
T2	2	6	63	14	400	5.43E+05	1.21E+05	22.22
T2	2	7	37	5	400	3.19E+05	4.31E+04	13.51
T2	2	8	38	7	400	3.28E+05	6.04E+04	18.42
T2	2	9	77	4	400	6.64E+05	3.45E+04	5.19
T2	2	10	123	18	400	1.06E+06	1.55E+05	14.63
