Cup	Number	SampleID	HeightAu	Pppm
13	1	T1-1	146.2448883	0.020129202
13	2	T1-1	139.0728607	0.019862255
14	3	T2-1	99.92882538	0.018405292
14	4	T2-1	108.6220322	0.018728858
17	5	T1-2	82.40984345	0.017753227
17	6	T1-2	79.14322662	0.017631641
18	7	T2-2	120.4460831	0.019168956
18	8	T2-2	132.8856964	0.019631965
21	9	T1-3	146.7918243	0.020149559
21	10	T1-3	107.7697601	0.018697137
22	11	T2-3	238.704834	0.023570612
22	12	T2-3	246.324234	0.023854211
25	13	T1-4	268.6630249	0.024685672
25	14	T1-4	261.0670776	0.024402946
26	15	T2-4	105.0988617	0.018597724
26	16	T2-4	102.5337219	0.018502248
29	17	T1-5	431.6771545	0.030753149
29	18	T1-5	419.8717041	0.030313743
30	19	T2-5	120.3262024	0.019164495
30	20	T2-5	123.3595276	0.019277396
33	21	T1-6	495.7131348	0.033136602
33	22	T1-6	479.7988281	0.032544263
34	23	T2-6	128.4914398	0.01946841
34	24	T2-6	104.0219498	0.018557642
37	25	T1-7	641.3408813	0.038556948
38	26	T2-7	90.40325928	0.018050745
38	27	T2-7	69.63850403	0.01727787
41	28	T1-8	887.8897095	0.047733631
41	29	T1-8	896.0429688	0.048037101
42	30	T2-8	46.43956375	0.016414393
42	31	T2-8	37.26852036	0.016073043
45	32	T1-9	1220.618774	0.060117986
45	33	T1-9	1223.119141	0.060211051
46	34	T2-9	110.5829391	0.018801844
46	35	T2-9	81.48516083	0.017718809
49	36	T1-10	1655.11438	0.076290153
49	37	T1-10	1647.895508	0.07602147
50	38	T2-10	89.00585175	0.017998734
50	39	T2-10	77.2714386	0.017561972
53	40	T1-11	1638.084595	0.075656302
53	41	T1-11	1611.993286	0.074685164
54	42	T2-11	52.93072891	0.016655998
54	43	T2-11	38.50309372	0.016118994
57	44	T1-12	1401.973511	0.066868111
57	45	T1-12	1410.248169	0.067176104
58	46	T2-12	55.05249405	0.016734971
58	47	T2-12	37.62356186	0.016086256
61	48	stream1	144.8183746	0.020076107
62	49	stream2	114.8373108	0.018960195
63	50	stream3	75.97039032	0.017513547
