"Cup"	"Number"	"SampleID"	"HeightAu"	"Pppm"	"myPppm"
"1"	13	1	"T1-1"	146.2448883	0.020129202	0.0228564343694524
"2"	13	2	"T1-1"	139.0728607	0.019862255	0.0225896141097149
"3"	14	3	"T2-1"	99.92882538	0.018405292	0.0211333422917904
"4"	14	4	"T2-1"	108.6220322	0.018728858	0.0214567548371722
"5"	17	5	"T1-2"	82.40984345	0.017753227	0.0204815852755599
"6"	17	6	"T1-2"	79.14322662	0.017631641	0.0203600576407466
"7"	18	7	"T2-2"	120.4460831	0.019168956	0.02189664387668
"8"	18	8	"T2-2"	132.8856964	0.019631965	0.0223594336255287
"9"	21	9	"T1-3"	146.7918243	0.020149559	0.0228767819773701
"10"	21	10	"T1-3"	107.7697601	0.018697137	0.0214250478394065
"11"	22	11	"T2-3"	238.704834	0.023570612	0.0262962129234264
"12"	22	12	"T2-3"	246.324234	0.023854211	0.0265796767359533
"13"	25	13	"T1-4"	268.6630249	0.024685672	0.0274107446462552
"14"	25	14	"T1-4"	261.0670776	0.024402946	0.0271281533422928
"15"	26	15	"T2-4"	105.0988617	0.018597724	0.0213256826606081
"16"	26	16	"T2-4"	102.5337219	0.018502248	0.0212302520089332
"17"	29	17	"T1-5"	431.6771545	0.030753149	0.0334753437842668
"18"	29	18	"T1-5"	419.8717041	0.030313743	0.033036146737389
"19"	30	19	"T2-5"	120.3262024	0.019164495	0.0218921839664154
"20"	30	20	"T2-5"	123.3595276	0.019277396	0.0220050324749365
"21"	33	21	"T1-6"	495.7131348	0.033136602	0.0358576682605686
"22"	33	22	"T1-6"	479.7988281	0.032544263	0.0352656098240901
"23"	34	23	"T2-6"	128.4914398	0.01946841	0.0221959545157488
"24"	34	24	"T2-6"	104.0219498	0.018557642	0.0212856184097577
"25"	37	25	"T1-7"	641.3408813	0.038556948	0.0412754434439934
"26"	38	26	"T2-7"	90.40325928	0.018050745	0.0207789635633889
"27"	38	27	"T2-7"	69.63850403	0.01727787	0.0200064543514624
"28"	41	28	"T1-8"	887.8897095	0.047733631	0.0504477760181599
"29"	41	29	"T1-8"	896.0429688	0.048037101	0.0507511009473798
"30"	42	30	"T2-8"	46.43956375	0.016414393	0.0191433863856972
"31"	42	31	"T2-8"	37.26852036	0.016073043	0.0188021969319109
"32"	45	32	"T1-9"	1220.618774	0.060117986	0.0628262637155731
"33"	45	33	"T1-9"	1223.119141	0.060211051	0.0629192846309386
"34"	46	34	"T2-9"	110.5829391	0.018801844	0.0215297062698157
"35"	46	35	"T2-9"	81.48516083	0.017718809	0.020447184396115
"36"	49	36	"T1-10"	1655.11438	0.076290153	0.0789907623641456
"37"	49	37	"T1-10"	1647.895508	0.07602147	0.0787221993566563
"38"	50	38	"T2-10"	89.00585175	0.017998734	0.0207269759441397
"39"	50	39	"T2-10"	77.2714386	0.017561972	0.020290421689308
"40"	53	40	"T1-11"	1638.084595	0.075656302	0.0783572048947106
"41"	53	41	"T1-11"	1611.993286	0.074685164	0.0773865324109249
"42"	54	42	"T2-11"	52.93072891	0.016655998	0.0193848765849248
"43"	54	43	"T2-11"	38.50309372	0.016118994	0.018848126647042
"44"	57	44	"T1-12"	1401.973511	0.066868111	0.0695731867239239
"45"	57	45	"T1-12"	1410.248169	0.067176104	0.0698810280374178
"46"	58	46	"T2-12"	55.05249405	0.016734971	0.0194638124113509
"47"	58	47	"T2-12"	37.62356186	0.016086256	0.0188154055070212
"48"	61	48	"stream1"	144.8183746	0.020076107	0.0228033639161328
"49"	62	49	"stream2"	114.8373108	0.018960195	0.0216879812549837
"50"	63	50	"stream3"	75.97039032	0.017513547	0.0202420189140592
